link,year,disambiguation,length,pageviews,revisions,title,score
Ejner_Federspiel,1896,False,39560,31,10,Ejner Federspiel,0.30723417409577297
Denise_Robins,1897,False,39916,33,9,Denise Robins,0.30295827575398876
Maria_Klenova,1898,False,49099,31,9,Maria Klenova,0.3015511780628478
John_Ballance,1893,False,40838,38,8,John Ballance,0.29978189261866817
Tokushichi_Mishima,1893,False,51621,44,7,Tokushichi Mishima,0.2951188799407795
Tina_Lattanzi,1897,False,48902,44,7,Tina Lattanzi,0.2949283434998791
André_Randall,1892,False,38032,40,7,André Randall,0.2913276233818892
Marilyn_Miller,1898,False,65743,120,5,Marilyn Miller,0.28681511888906497
Oscar_C._Badger_II,1890,False,49638,43,6,Oscar C. Badger II,0.2819501376576348
Tudor_Owen_(actor),1898,False,71452,75,5,Tudor Owen,0.2786992180575844
Hilda_Vaughn,1898,False,41879,33,6,Hilda Vaughn,0.2742418166162056
Quincy_Porter,1897,False,71589,20,6,Quincy Porter,0.26006312413958615
Miguel_Ydígoras_Fuentes,1895,False,57367,75,4,Miguel Ydígoras Fuentes,0.25418174232409324
Edwin_Linkomies,1894,False,51877,47,4,Edwin Linkomies,0.24584087529163065
Phelps_Phelps,1897,False,48555,33,4,Phelps Phelps,0.2385880596356231
Haile_Selassie_I,1892,False,241430,0,794,Haïlé Sélassié Ier,0.1327693847273591
Roy_Harris,1898,False,61845,0,38,Roy Harris (compositeur),0.12497668668079734
Tsola_Dragoycheva,1898,False,59274,0,37,Tsola Dragoycheva,0.12484385420679124
Edward_Milford,1894,False,105132,0,34,Edward Milford,0.12482765792375027
Baby_Dodds,1898,False,71721,0,27,Baby Dodds,0.12357853302313317
Mordecai_Ardon,1896,False,51543,0,17,Mordecai Ardon,0.12088734554751547
Harriet_Cohen,1895,False,92317,0,16,Harriet Cohen,0.12083212808505192
Baruch_Lumet,1898,False,38378,0,16,Baruch Lumet,0.12033081668308894
Raymond_Griffith,1895,False,77855,0,14,Raymond Griffith,0.11984920094950649
Nina_Hamnett,1890,False,72208,0,14,Nina Hamnett,0.11980852422532991
Richard_Aldington,1892,False,76288,0,13,Richard Aldington,0.11930987999237824
K._M._Panikkar,1894,False,50967,0,13,K. M. Panikkar,0.11908694590765644
Božidar_Jakac,1899,False,41727,0,12,Božidar Jakac,0.11837345258829336
Sara_Carter,1898,False,61437,0,11,Sara Carter,0.11790368948815431
H._L._Davis,1894,False,59353,0,11,H. L. Davis,0.1178849275625487
Leila_Denmark,1898,False,57733,0,10,Leila Denmark,0.11706577599179833
Alan_Arnett_McLeod,1899,False,55878,0,10,Alan McLeod,0.11704807551451099
William_C._Lee,1895,False,44121,0,10,William C. Lee,0.11691698572935341
Ted_Lewis_(musician),1890,False,34327,0,9,Ted Lewis (musicien),0.11582082125709559
John_George_(actor),1898,False,85022,0,7,John George (acteur),0.11368587097830643
Fred_Allen,1894,False,71911,0,6,Fred Allen (acteur),0.11171108991891925
Wanda_Gág,1893,False,49976,0,6,Wanda Gág,0.11153346217523981
Morgan_Farley,1898,False,89204,0,5,Morgan Farley,0.10920529039008886
Mahmoud_Mokhtar,1891,False,37521,0,5,Mahmoud Mokhtar (sculpteur),0.10879902037032899
Maksim_Purkayev,1894,False,40300,0,4,Maksim Purkayev,0.10497779983411086
Caroline_Gordon,1895,False,43159,0,3,Caroline Gordon,0.09841972390417794
Hatı_Çırpan,1890,False,42919,0,3,Hatı Çırpan,0.0984174748731949
Minoru_Sasaki,1893,False,53381,0,2,Minoru Sasaki,0.08368747457825555
Aksel_Larsen,1897,False,50527,0,1,Aksel Larsen,0.08367200362155663
Tuanku_Abdul_Rahman,1895,False,44561,0,2,Abdul Rahman de Negeri Sembilan,0.0836360510323069
Milt_Gross,1895,False,43020,0,1,Milt Gross,0.08362583463370583
Harry_Shields,1899,,1,1,1,?,0.05448825167540282
Elsie_Thompson,1899,,1,1,1,?,0.05448825167540282
Arthur_Young_(actor),1898,,1,1,1,?,0.05448825167540282
Lucy_Somerville_Howorth,1895,,1,1,1,?,0.05448825167540282
József_Kiss,1896,,1,1,1,?,0.05448825167540282
David_Shimoni,1891,,1,1,1,?,0.05448825167540282
Lloyd_W._Bertaud,1895,,1,1,1,?,0.05448825167540282
Siggie_Nordstrom,1893,,1,1,1,?,0.05448825167540282
Yitzhak_Lamdan,1899,,1,1,1,?,0.05448825167540282
Jesse_Wallace,1899,,1,1,1,?,0.05448825167540282
Henry_M._Mullinnix,1892,,1,1,1,?,0.05448825167540282
Peter_de_Noronha,1897,,1,1,1,?,0.05448825167540282
Fritz_Gause,1893,,1,1,1,?,0.05448825167540282
John_Dunville,1896,,1,1,1,?,0.05448825167540282
Rahul_Sankrityayan,1893,,1,1,1,?,0.05448825167540282
David_Townsend_(art_director),1891,,1,1,1,?,0.05448825167540282
Leo_Aryeh_Mayer,1895,,1,1,1,?,0.05448825167540282
Walter_Beall,1899,,1,1,1,?,0.05448825167540282
Edward_Stinson,1893,,1,1,1,?,0.05448825167540282
James_Fairbairn,1897,,1,1,1,?,0.05448825167540282
Mary_Petty,1899,,1,1,1,?,0.05448825167540282
Charles_P._Thompson,1891,,1,1,1,?,0.05448825167540282
Richard_P._Condie,1898,,1,1,1,?,0.05448825167540282
Homer_Burton_Adkins,1892,,1,1,1,?,0.05448825167540282
Kenneth_Hawks,1898,,1,1,1,?,0.05448825167540282
Justin_Tuveri,1898,,1,1,1,?,0.05448825167540282
Johnny_Morrison_(baseball),1895,,1,1,1,?,0.05448825167540282
Harold_D._Cooley,1897,,1,1,1,?,0.05448825167540282
Maurice_Zbriger,1896,,1,1,1,?,0.05448825167540282
Wilfred_Kitching,1893,,1,1,1,?,0.05448825167540282
Józef_Kustroń,1892,,1,1,1,?,0.05448825167540282
Alfonso_Leng,1894,,1,1,1,?,0.05448825167540282
Charley_Foy,1898,,1,1,1,?,0.05448825167540282
Katarina_Marinič,1899,,1,1,1,?,0.05448825167540282
Anton_Piëch,1894,,1,1,1,?,0.05448825167540282
Otto_Eppers,1893,,1,1,1,?,0.05448825167540282
Dechko_Uzunov,1899,,1,1,1,?,0.05448825167540282
Rupert_Balfe,1890,,1,1,1,?,0.05448825167540282
Osmond_Borradaile,1898,,1,1,1,?,0.05448825167540282
Elsie_Eaves,1898,,1,1,1,?,0.05448825167540282
Cecil_M._Harden,1894,,1,1,1,?,0.05448825167540282
Osman_Achmatowicz,1899,,1,1,1,?,0.05448825167540282
J._W._Hearne,1891,,1,1,1,?,0.05448825167540282
Ray_Morehart,1899,,1,1,1,?,0.05448825167540282
Davíð_Stefánsson,1895,,1,1,1,?,0.05448825167540282
Richard_L._Conolly,1892,,1,1,1,?,0.05448825167540282
Flora_Eldershaw,1897,,1,1,1,?,0.05448825167540282
Edmund_A._Chester,1897,,1,1,1,?,0.05448825167540282
