"Golf Date","Arrival Time","Arrival Source","Depart Time","Depart Source",Club,Sighted?,"Golf Source",Comment
2017-03-19,"2017-03-19 08:37:00",_http://publicpool.kinja.com/subject-out-of-town-pool-report-1-1793417353,"2017-03-19 12:10:00",_http://publicpool.kinja.com/subject-out-of-town-pool-report-3-1793419961,"Trump Intl, West Palm Beach, FL",Likely,_,
2017-02-11,"2017-02-11 14:16:00",_http://publicpool.kinja.com/subject-print-travel-pool-report-5-1792257528,"2017-02-11 16:23:00",_http://publicpool.kinja.com/subject-print-travel-pool-report-7-1792259064,"Trump Intl, West Palm Beach, FL",Yes,https://www.nytimes.com/2017/02/12/us/politics/donald-trump-golf-obama.html,"<a href=""https://twitter.com/realDonaldTrump/status/830555911559249926"">9 more holes with Ernie Els</a>"
2017-03-25,"2017-03-25 11:01:00",_http://publicpool.kinja.com/subject-in-town-pool-3-1793636839,"2017-03-25 15:20:00",_http://publicpool.kinja.com/subject-in-town-pool-6-1793641392,"Trump Natl, Potomac Falls, VA",Yes,https://twitter.com/jbillinson/status/845732318736273410,"<a href=""https://twitter.com/JenniferJJacobs/status/846017888637145090"">18 holes, cleats picture</a>"
2017-03-26,"2017-03-26 11:04:00",_http://publicpool.kinja.com/subject-pool-report-no-2-arrival-trump-national-golf-1793652428,"2017-03-26 12:00:00",_http://publicpool.kinja.com/subject-pool-report-no-4-departing-club-1793653360,"Trump Natl, Potomac Falls, VA","Probably Not",_,"<a href=""https://twitter.com/hunterw/status/846032374299328513"">Watching golf</a>"
2017-04-02,"2017-04-02 10:44:00",_http://publicpool.kinja.com/subject-in-town-pool-report-3-1793935576,"2017-04-02 16:04:00",http://publicpool.kinja.com/subject-in-town-pool-report-7-1793939369,"Trump Natl, Potomac Falls, VA",Yes,https://www.bloomberg.com/news/articles/2017-04-02/trump-tees-off-with-rand-paul-to-show-gop-love-on-health-care,"<a href=""http://www.foxnews.com/politics/2017/04/02/golf-summit-trump-tees-up-talks-obamacare-with-paul-mulvaney.html"">With Paul and Mulvaney</a>"
2017-04-08,"2017-04-08 09:05:00",_http://publicpool.kinja.com/subject-mar-a-lago-pool-report-no-2-1794137973,"2017-04-08 14:15:00",_http://publicpool.kinja.com/subject-mar-a-lago-pool-report-no-3-1794141922,"Trump Intl, West Palm Beach, FL",Yes,https://twitter.com/AlliemalCNN/status/850756815210123267,"<a href=""http://www.mypalmbeachpost.com/news/china-summit-syrian-strikes-past-this-new-normal-for-trump/VwegMHt4jDc79bOW8n5rjK/"">Post President Xi visit</a>"
2017-04-09,"2017-04-09 09:32:00",_http://publicpool.kinja.com/subject-sunday-print-pool-report-2-1794152209,"2017-04-09 14:32:00",http://publicpool.kinja.com/subject-sunday-print-pool-report-3-1794155418,"Trump Intl, West Palm Beach, FL",Yes,http://thehill.com/homenews/administration/328024-trump-spotted-at-florida-golf-club,"<a href=""http://www.palmbeachdailynews.com/news/exclusive-president-trump-return-palm-beach-for-easter-weekend/Tx4Hjp6nzNwKv31dG3IuTL/"">""back next week""</a>"
2017-04-14,"2017-04-14 09:54:00",http://publicpool.kinja.com/subject-pool-report-1-1794326997,"2017-04-14 13:54:00",http://publicpool.kinja.com/subject-pool-report-2-1794335954,"Trump Intl, West Palm Beach, FL",Yes,https://www.axios.com/photo-of-trump-golfing-mar-a-lago-2361057362.html,"<a href=""http://www.sun-sentinel.com/local/palm-beach/fl-pn-trump-good-friday-visit-20170414-story.html"">Good Friday Golf</a>"
2017-04-15,"2017-04-15 08:58:00",http://publicpool.kinja.com/subject-wh-pool-report-1-1794352137,"2017-04-15 13:29:00",http://publicpool.kinja.com/subject-wh-pool-report-2-1794356466,"Trump Intl, West Palm Beach, FL",Likely,_,"<a href=""http://www.sun-sentinel.com/local/palm-beach/fl-pn-trump-saturday-easter-visit-20170415-story.html"">Amid tax march protests</a>"
2017-04-30,"2017-04-30 11:33:00",http://publicpool.kinja.com/subject-wh-pool-report-3-1794782494,"2017-04-30 16:00:00",http://publicpool.kinja.com/subject-wh-pool-report-4-1794785857,"Trump Natl, Potomac Falls, VA",Likely,_,"<a href=""https://twitter.com/jbillinson/status/858775269812953089"">Don't ask, don't tell</a>"
